Date,#tx,Vol,mean_tx,mean_tdiff,var_tdiff,Transaction,Open_price,High_price,Low_Price,Close_Price,Ex_volume,Wt_Price
1/19/2013,115393,1.58405E+14,1372743614,2640267.073,55766658573,63.02193154,15.6843,15.77272,15.25,15.615,34588.81837,15.45779969
1/20/2013,84792,1.14485E+14,1350191073,2620847.186,679456388.6,33.70685415,15.615,15.89,15.51,15.7,25982.12528,15.72064617
1/21/2013,85799,1.14474E+14,1334209410,2599504.646,137828835.5,30.62610484,15.7,16.98,15.63412,16.8,61502.10363,16.38458498
1/22/2013,99738,1.46131E+14,1465151706,2571691.872,466695282,29.87214152,16.8,17.59,16.65,17.26142,60975.24456,17.15284607
1/23/2013,103940,2.42721E+14,2335198432,2567352.869,1000882074,45.66376477,17.26142,17.5855,16.80155,17.50004,49439.36785,17.21681344
1/24/2013,113785,1.63376E+14,1435827477,2551977.439,177074594.5,42.78012497,17.52899,19.18999,15.6101,16.89596,172009.1029,17.75035183
1/25/2013,106312,1.52909E+14,1438299762,2542808.141,3572926906,40.13334087,16.76002,17.797,15.38613,17.40001,80767.4855,16.66376161
1/26/2013,110782,1.34209E+14,1211473404,2535492.113,873661082.6,48.09323725,17.4511,17.88,16.54001,17.88,34810.59865,17.15179271
1/27/2013,113241,1.4809E+14,1307741022,2523176.087,970289275.6,47.75957992,17.81,17.99999,17.21,17.81821,23766.81604,17.65365302
1/28/2013,116553,1.67186E+14,1434421999,2520739.285,1057477038,42.66449033,17.81821,18.88,17.75,18.72101,57669.43962,18.33919847
1/29/2013,116956,2.44926E+14,2094173872,2516525.954,47042291.74,50.78193782,18.8,19.8,18.7,19.52538,86082.08184,19.16921786
1/30/2013,90063,2.65311E+14,2945839566,2505256.154,61545891.53,39.13531897,19.53999,19.7989,19.14901,19.70001,45064.83281,19.4800123
1/31/2013,111577,1.58637E+14,1421773191,2479088.922,54323763.85,42.31036818,19.70001,21.43,19.51123,20.41001,99226.70356,20.58154273
2/1/2013,124899,1.81381E+14,1452224376,2478686.262,6815043104,49.20923656,20.50879,21.13,20.301,20.49897,49917.47551,20.72659221
2/2/2013,117136,1.35888E+14,1160087946,2487379.247,187359596.3,54.79985834,20.3611,20.5,18,19.63001,80501.65482,19.46947894
2/3/2013,126954,1.36913E+14,1078447522,2488636.06,310161496.6,72.35764756,19.7,20.9,19.42,20.59,34244.29903,20.26175548
2/4/2013,120217,2.03043E+14,1688972492,2489116.697,363951593.5,47.3593669,20.59999,21.05,19.85502,20.43005,52219.141,20.42489006
2/5/2013,113002,1.9885E+14,1759704658,2479008.925,554850438.7,42.90852642,20.43006,20.79,20.2,20.60001,29212.43728,20.57170586
2/6/2013,88895,1.86435E+14,2097251807,2456740.436,313081429.5,33.47964254,20.65999,21.3339,20.60001,21.18,51989.59854,21.08875991
